SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m),Rep,Clase2
1,0.16,16,0.07466564,-1.00282454,0.01968072,0.41557369,-0.20302927,-0.11223686,-42.76527405,2.71850324,-110.6986237,-3.05017853,-5.1017952,6.49648666,0.99711794,0.02402463,0.04592615,-0.05540333,-0.00343249,-0.0002534,0.00610973,0,0,0,0,1,2
2,0.16,16,0.07272023,-0.99645209,-0.01343794,-0.27507257,-0.06332429,0.48612824,-50.21923447,-16.66179466,-86.758255,-1.01074529,2.23272848,12.95311737,0.99337149,0.01095988,-0.01836319,-0.11294162,0.00893658,0.00365036,-0.00044155,0,0,0,0,1,2
4,0.16,16,-0.07755845,-0.99590075,-0.06025941,-0.28491542,-0.60964197,0.20139967,-28.44197655,18.56182289,-100.2338486,-0.07329535,-0.32861981,-0.47004846,0.99998724,0.00065138,0.0028651,0.00410375,0.00236307,0.00116963,0.00071658,0,0,0,0,1,2
1,0.17,17,0.07174816,-1.00410867,0.01940627,0.84487331,-0.0936131,-0.28445747,-42.47296143,2.77696586,-110.5524674,-3.05496383,-5.09025812,6.49592686,0.99712151,0.02407231,0.04582797,-0.05539947,-0.00027787,-0.00069003,0.00688039,0,0,0,0,1,2
2,0.17,17,0.07242334,-0.9951157,-0.01262778,-0.11355655,0.24621652,0.45307949,-51.06694031,-16.48640823,-86.37825012,-1.01166153,2.22823954,12.95570278,0.9933697,0.01096382,-0.01832312,-0.11296393,0.0090946,0.00448599,-0.00179176,0,0,0,0,1,2
4,0.17,17,-0.07603431,-0.99984944,-0.06104621,-0.25023124,-0.54000431,0.16783734,-29.43583679,17.97719955,-99.97076416,-0.07539319,-0.33062837,-0.4754951,0.99998701,0.00066989,0.00288252,0.00415134,0.00052735,0.00065019,0.00459043,0,0,0,0,1,2
1,0.18,18,0.07114034,-1.00390172,0.01804215,0.72559673,-0.51192528,-0.42000449,-41.82987213,2.3384974,-110.4355469,-3.04803252,-5.08601952,6.48977995,0.99712747,0.02401659,0.04578644,-0.05534983,0.0004538,-0.00198612,0.00646865,0,0,0,0,1,2
2,0.18,18,0.07533927,-0.99447328,-0.01590271,-0.2566348,0.47348833,0.36991206,-50.71616364,-17.18795586,-85.88131714,-1.01649141,2.1898675,12.9649334,0.9933669,0.01096943,-0.01798482,-0.1130425,0.00593542,0.00125414,-0.0023183,0,0,0,0,1,2
4,0.18,18,-0.07511762,-1.00066745,-0.06083569,-0.23142236,-0.50601399,0.25535747,-29.43583679,17.97719955,-99.97076416,-0.0773412,-0.33348581,-0.48054537,0.99998677,0.00068712,0.00290735,0.00419548,-0.00048828,0.00095659,0.00532903,0,0,0,0,1,2
1,0.19,19,0.07144334,-1.00843441,0.0197377,0.71809733,-1.38093066,-0.31347764,-41.82987213,2.3384974,-110.4355469,-3.04179764,-5.08266544,6.4750104,0.99713719,0.02396992,0.04575117,-0.05522465,0.00095573,-0.00074805,0.01108961,0,0,0,0,1,2
2,0.19,19,0.07819197,-0.99413306,-0.01942464,-0.38205907,0.38845199,0.37026203,-50.71616364,-17.18795586,-85.88131714,-1.01999438,2.18623519,12.96904278,0.99336314,0.01099686,-0.01794949,-0.11307846,0.0025521,-0.00217932,-0.00255661,0,0,0,0,1,2
4,0.19,19,-0.07516206,-0.99807954,-0.05775164,-0.00155899,-0.52304727,0.27359611,-29.40660667,18.12335587,-100.5261612,-0.02092111,-0.34572521,-0.4899863,0.99998635,0.00019547,0.00301621,0.00427645,-0.00034339,0.00364028,0.00256989,0,0,0,0,1,2
4,0.2,20,-0.07581485,-0.99676132,-0.05478645,0.17396492,-0.24525897,0.24381945,-28.73428726,18.21105003,-100.6723175,-0.01901194,-0.3483088,-0.49215686,0.99998611,0.00017896,0.00303882,0.00429535,0.0002437,0.00575793,0.00112459,0,0,0,0,1,2
2,0.21,20,0.07763791,-0.99485725,-0.01991894,-0.22344908,-0.17659815,0.11720859,-50.3946228,-15.81408882,-86.29055786,-1.02483976,2.18157458,12.96885967,0.99336356,0.01103425,-0.01790432,-0.11307734,0.0030363,-0.00257805,-0.00185906,0,0,0,0,1,2
4,0.21,21,-0.07784984,-0.99768329,-0.05399508,0.15568976,0.27414897,0.28625193,-28.23735809,16.60333252,-100.2630768,-0.01768018,-0.3509928,-0.48914161,0.99998623,0.00016736,0.0030623,0.004269,0.00216686,0.00657817,0.00213666,0,0,0,0,1,2
2,0.22,21,0.07606745,-0.99668908,-0.01527302,-0.08131194,-0.52152836,0.05917937,-50.16077042,-15.96024513,-86.52440643,-1.02607536,2.18089199,12.96369267,0.99336874,0.01104349,-0.01789768,-0.11303273,0.0046711,0.0020977,-0.00009353,0,0,0,0,1,2
4,0.22,22,-0.07691548,-0.9979012,-0.05560023,-0.05573265,0.49841169,0.3581171,-29.02659988,17.68488693,-100.6138535,-0.01864413,-0.35426605,-0.48400855,0.99998635,0.00017576,0.00309083,0.00422424,0.00115979,0.0049805,0.00238552,0,0,0,0,1,2
2,0.23,22,0.07424359,-0.99447596,-0.01529237,-0.06312092,-0.14022502,-0.04138896,-50.24846649,-16.07716942,-86.84594727,-0.9870677,2.09155512,12.97452164,0.99337697,0.01061909,-0.01716067,-0.11311547,0.0060057,0.00191891,-0.00240005,0,0,0,0,1,2
4,0.23,23,-0.07662812,-0.99584317,-0.05778055,-0.23118554,0.53203934,0.44469497,-28.52966881,18.09412384,-100.1753845,-0.02139843,-0.35839516,-0.47861025,0.99998641,0.0001998,0.00312677,0.00417721,0.0009407,0.0027235,0.00044798,0,0,0,0,1,2
1,0.24,20,0.0541546,-1.00203395,0.02095936,1.27783942,-0.31438676,-0.36504304,-41.80064392,1.8415668,-109.7924576,-2.96113658,-5.19181967,6.40484142,0.99714619,0.02324177,0.04664775,-0.0546193,0.0151279,-0.00043307,0.00222556,0,0,0,0,1,2
2,0.24,23,0.07175349,-0.9949311,-0.01244052,0.00871452,-0.05507134,-0.02368234,-50.24846649,-16.07716942,-86.84594727,-0.9870249,2.09178185,12.97396374,0.99337739,0.01061886,-0.01716273,-0.11311063,0.00735009,0.00425543,-0.00210279,0,0,0,0,1,2
4,0.24,24,-0.07606125,-0.99168557,-0.05869232,-0.3004804,0.35811603,0.51130283,-28.52966881,18.09412384,-100.1753845,-0.01966845,-0.3715992,-0.47534531,0.99998617,0.00018509,0.00324207,0.00414869,0.00054312,0.00160487,-0.00367589,0,0,0,0,1,2
